"id","src_ip_addr","src_scion_addr","dst_ip_addr","dst_scion_addr"
1,"192.168.1.1","71-2:0:35,192.168.1.1:0---",NULL,NULL
2,"141.44.25.151","71-2:0:4a,141.44.25.151:0","141.44.25.151","71-2:0:4a,141.44.25.151:30041"
3,"10.0.0.1","71-2:0:3d,10.0.0.1:0","134.75.254.68","71-2:0:3d,10.0.0.1:30041"
4,"10.0.1.1","71-20965,10.0.1.1:0","62.40.110.132","71-20965,10.0.1.1:30041"
5,"10.0.2.1","71-20965,10.0.2.1:0","62.40.110.140","71-20965,10.0.2.1:30041"
6,"10.0.3.1","71-20965,10.0.3.1:0","62.40.110.148","71-20965,10.0.3.1:30041"
7,"10.1.0.1","71-2:0:3b,10.1.0.1:0","134.75.254.214","71-2:0:3b,10.1.0.1:30041"
8,"134.75.254.171","71-2:0:3f,10.10.0.1:0","134.75.254.171","71-2:0:3f,10.10.0.1:30041"
9,"134.75.253.186","71-2:0:3e,10.10.0.1:0","134.75.253.186","71-2:0:3e,10.10.0.1:30041"
10,"xxx","yyy","129.132.230.98","64-2:0:9,129.132.230.98:30041"
11,"zzz","xxx","137.132.22.29","71-2:0:18,192.168.1.1:30041"
12,"200.129.206.243","71-2:0:5c,127.0.0.1:0","200.129.206.243","71-2:0:5c,127.0.0.1:30041"
13,"145.40.89.243","71-2:0:48,127.0.0.1:0","145.40.89.243","71-2:0:48,127.0.0.1:30041"
14,"aaa","bbb","128.112.49.68","71-88,127.0.0.1:30041"
15,"10.230.53.144","71-225,10.230.53.144:0","ccc","71-225,127.0.0.1:30041"