src_scion_addr,dst_scion_addr,avg_paths,min_paths,max_paths,avg_diff_to_max,median_diff_to_max,avg_min_hops,avg_max_hops
71-20965,71-225,37.51347341549094,5.0,45.0,7.486526584509061,0.0,4.106281804803328,7.58027874198196
71-20965,71-2:0:3b,25.92738444257172,9.0,33.0,7.0726155574282785,0.0,6.0,6.0
71-20965,71-2:0:3d,2.999878262476042,1.6666666666666667,3.0,0.00012173752395763333,0.0,2.0,2.0
71-20965,71-2:0:3e,19.366531352113242,3.0,27.0,7.633468647886758,0.0,2.0001139942147934,4.659618293774332
71-20965,71-2:0:3f,13.478234232262741,5.0,17.0,3.5217657677372585,0.0,4.0,4.0
71-20965,71-2:0:48,13.487470908241695,2.0,15.0,1.5125290917583065,0.0,4.000132257695102,7.2597150182615735
71-20965,71-2:0:4a,2.0715215806395704,2.0,3.0,0.9284784193604295,1.0,2.0,2.0
71-20965,71-2:0:5c,14.218034370904766,3.0,17.0,2.7819656290952355,0.0,2.00118309346083,6.724367777972528
71-225,71-20965,30.208777300016518,4.0,45.0,14.791222699983484,0.0,4.350563421897978,7.126692877628085
71-225,71-2:0:3b,35.328697949036666,2.0,51.0,15.671302050963332,8.0,4.00077688004972,8.92433188315724
71-225,71-2:0:3d,36.12466949763641,8.0,61.0,24.875330502363592,16.0,6.360548033010176,8.214245653393156
71-225,71-2:0:3e,36.56088303640589,2.0,53.0,16.439116963594113,0.0,4.0015491866769946,6.775213013168087
71-225,71-2:0:3f,33.256491744825986,1.0,46.0,12.743508255174016,4.0,2.000775133710565,6.874040772033176
71-225,71-2:0:48,23.678450483191543,2.0,46.0,22.321549516808457,23.0,4.0,9.996530932518377
71-225,71-2:0:4a,31.4401211556384,4.0,45.0,13.559878844361604,0.0,6.019571295433365,9.12799005902454
71-225,71-2:0:5c,75.4083794097033,2.0,113.0,37.59162059029671,2.0,4.608986839031228,9.438828751654857
71-2:0:3b,71-20965,17.39985841368237,9.0,21.0,3.6001415863176285,0.0,6.0,6.0
71-2:0:3b,71-225,40.17143135915699,3.0,51.0,10.828568640843008,8.0,4.000195140989365,9.495267831007904
71-2:0:3b,71-2:0:3d,19.764616935483872,17.0,37.0,17.235383064516128,16.0,8.0,8.0
71-2:0:3b,71-2:0:3e,16.262547065337763,5.0,25.0,8.737452934662237,4.0,4.203410852713177,6.796190476190476
71-2:0:3b,71-2:0:3f,3.0,3.0,3.0,0.0,0.0,2.0,2.0
71-2:0:3b,71-2:0:48,20.679771996492253,5.0,29.0,8.320228003507745,8.0,6.669394913767904,9.775893988112637
71-2:0:3b,71-2:0:4a,18.073508522727273,9.0,21.0,2.9264914772727275,0.0,7.9998224431818175,8.0
71-2:0:3b,71-2:0:5c,49.02694411097773,17.0,65.0,15.973055889022277,4.0,6.434751678449157,9.466008625672492
71-2:0:3d,71-20965,2.9999581128371204,2.0,3.0,4.188716287923333e-05,0.0,2.0,2.0
71-2:0:3d,71-225,50.92842432840602,9.0,69.0,18.071575671593976,8.0,6.109194087227129,9.454487208823394
71-2:0:3d,71-2:0:3b,19.682995306738185,17.0,37.0,17.317004693261815,16.0,8.0,8.0
71-2:0:3d,71-2:0:3e,15.133916977338416,5.0,21.0,5.866083022661584,0.0,4.0,6.462195786034432
71-2:0:3d,71-2:0:3f,17.02220081263352,9.0,29.0,11.97779918736648,8.0,6.0,6.0
71-2:0:3d,71-2:0:48,18.871156594293087,3.0,21.0,2.12884340570691,0.0,6.000184391278292,9.031208223851012
71-2:0:3d,71-2:0:4a,3.1721060790146214,2.0,5.0,1.8278939209853784,2.0,4.0,4.0
71-2:0:3d,71-2:0:5c,20.03481291731407,5.0,25.0,4.965187082685928,0.0,4.000671901902321,8.386847520262041
71-2:0:3e,71-20965,14.571913516135602,3.0,21.0,6.428086483864397,0.0,2.0,4.52472148811041
71-2:0:3e,71-225,43.362405398012214,3.0,55.0,11.63759460198778,2.0,4.084435123552476,7.254946658156286
71-2:0:3e,71-2:0:3b,15.874494264859228,5.0,25.0,9.125505735140772,4.0,4.177851929092805,6.700813347236704
71-2:0:3e,71-2:0:3d,15.114057438998056,4.0,21.0,5.885942561001944,0.0,4.0,6.477736989851004
71-2:0:3e,71-2:0:3f,15.188956032506772,3.0,23.0,7.811043967493228,2.0,2.1775369868722647,4.701562825588664
71-2:0:3e,71-2:0:48,15.856206153422898,3.0,17.0,1.1437938465771011,0.0,6.0,6.0
71-2:0:3e,71-2:0:4a,14.737817089452603,3.0,21.0,6.262182910547397,0.0,4.0,6.524032042723632
71-2:0:3e,71-2:0:5c,40.38087872580578,5.0,57.0,16.61912127419422,0.0,4.00050165126876,6.8066552401655445
71-2:0:3f,71-20965,13.328208105999517,5.0,17.0,3.6717918940004814,0.0,4.0,4.0
71-2:0:3f,71-225,38.604893284747526,2.0,46.0,7.395106715252472,4.0,2.0006246746486203,7.46153045288912
71-2:0:3f,71-2:0:3b,3.0,3.0,3.0,0.0,0.0,2.0,2.0
71-2:0:3f,71-2:0:3d,17.349276150007412,8.0,21.0,3.650723849992589,0.0,6.0,6.0
71-2:0:3f,71-2:0:3e,15.75851908179269,3.0,23.0,7.2414809182073085,2.0,2.2070243809704864,4.816406064350554
71-2:0:3f,71-2:0:48,20.33303636935332,2.0,25.0,4.666963630646682,4.0,4.605177654333927,7.772350906613561
71-2:0:3f,71-2:0:4a,13.658687479179555,5.0,17.0,3.3413125208204444,0.0,6.0,6.0
71-2:0:3f,71-2:0:5c,41.00095392540303,9.0,55.0,13.999046074596967,2.0,4.407230754554994,7.490794619860728
71-2:0:48,71-20965,12.833870300563197,2.0,15.0,2.1661296994368033,0.0,4.0,6.961266249780484
71-2:0:48,71-225,20.410289481226712,3.0,46.0,25.589710518773288,23.0,4.000286615075953,9.195949173593197
71-2:0:48,71-2:0:3b,16.5981062085123,5.0,29.0,12.4018937914877,8.0,6.807497071456463,8.894572432643498
71-2:0:48,71-2:0:3d,14.542044705763088,3.0,21.0,6.4579552942369105,8.0,6.0,6.9285822900299046
71-2:0:48,71-2:0:3e,15.5904993909866,3.0,17.0,1.4095006090133981,0.0,6.0,6.0
71-2:0:48,71-2:0:3f,19.61948627967052,3.0,25.0,5.380513720329483,4.0,4.810254910561973,7.769751913047715
71-2:0:48,71-2:0:4a,13.216717058421924,2.0,15.0,1.7832829415780749,0.0,5.693358041548815,8.747293475080465
71-2:0:48,71-2:0:5c,23.31663859586916,2.0,30.0,6.68336140413084,0.0,4.364683981916497,8.503235528765181
71-2:0:4a,71-20965,1.9999511750023504,1.0,2.0,4.8824997649700006e-05,0.0,2.0,2.0
71-2:0:4a,71-225,37.18055186346962,4.0,45.0,7.819448136530384,0.0,5.905577117337445,9.516295390504544
71-2:0:4a,71-2:0:3b,25.666126418152352,8.0,33.0,7.3338735818476515,0.0,8.0,8.0
71-2:0:4a,71-2:0:3d,2.9996948893974062,1.0,3.0,0.0003051106025934,0.0,4.0,4.0
71-2:0:4a,71-2:0:3e,19.113371238113913,2.0,27.0,7.886628761886089,0.0,4.000196059209881,6.611116557200274
71-2:0:4a,71-2:0:3f,13.344111756948177,4.0,17.0,3.655888243051824,0.0,6.0,6.0
71-2:0:4a,71-2:0:48,13.275690143801826,2.0,15.0,1.7243098561981736,0.0,5.826598089639971,9.021727721213392
71-2:0:4a,71-2:0:5c,13.831509954661936,2.0,17.0,3.168490045338064,0.0,4.000689927064853,8.554701360141928
71-2:0:5c,71-20965,3.0,3.0,3.0,0.0,0.0,2.0,2.0
71-2:0:5c,71-225,73.63458937198067,9.0,89.0,15.365410628019324,0.0,6.03855072463768,9.521932367149759
71-2:0:5c,71-2:0:3b,49.12037075350685,16.0,65.0,15.879629246493153,0.0,8.0,8.0
71-2:0:5c,71-2:0:3d,4.999914599257013,4.0,5.0,8.54007429864e-05,0.0,4.0,4.0
71-2:0:5c,71-2:0:3e,35.98329612172331,4.0,53.0,17.016703878276687,0.0,4.0,6.528404862317043
71-2:0:5c,71-2:0:3f,25.05829577872411,8.0,33.0,7.9417042212758915,0.0,6.0,6.0
71-2:0:5c,71-2:0:48,25.32730996813837,3.0,29.0,3.6726900318616296,0.0,6.0,9.083477469276286
71-2:0:5c,71-2:0:4a,3.1739838830419655,2.0,5.0,1.8260161169580345,2.0,4.0,4.0
